================ Training Loss (Mon Sep 29 15:38:19 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.598, data: 2.243) , D_A: 0.585, G_A: 0.400, cycle_A: 1.613, idt_A: 1.502, D_B: 0.408, G_B: 0.423, cycle_B: 3.156, idt_B: 0.733

[Rank 0] (epoch: 1, iters: 200, time: 0.635, data: 0.003) , D_A: 0.341, G_A: 0.576, cycle_A: 1.350, idt_A: 0.844, D_B: 0.316, G_B: 0.327, cycle_B: 2.258, idt_B: 0.811

[Rank 0] (epoch: 1, iters: 300, time: 0.647, data: 0.002) , D_A: 0.628, G_A: 0.446, cycle_A: 0.883, idt_A: 1.017, D_B: 0.298, G_B: 0.273, cycle_B: 2.289, idt_B: 0.414

[Rank 0] (epoch: 1, iters: 400, time: 0.929, data: 0.004) , D_A: 0.361, G_A: 0.290, cycle_A: 0.641, idt_A: 0.617, D_B: 0.277, G_B: 0.264, cycle_B: 1.732, idt_B: 0.284

[Rank 0] (epoch: 1, iters: 500, time: 0.642, data: 0.004) , D_A: 0.311, G_A: 0.275, cycle_A: 0.634, idt_A: 0.708, D_B: 0.292, G_B: 0.451, cycle_B: 1.475, idt_B: 0.285

[Rank 0] (epoch: 1, iters: 600, time: 0.648, data: 0.002) , D_A: 0.337, G_A: 0.215, cycle_A: 0.965, idt_A: 1.125, D_B: 0.279, G_B: 0.408, cycle_B: 2.646, idt_B: 0.352

[Rank 0] (epoch: 1, iters: 700, time: 0.644, data: 0.001) , D_A: 0.315, G_A: 0.317, cycle_A: 0.814, idt_A: 0.910, D_B: 0.316, G_B: 0.223, cycle_B: 1.879, idt_B: 0.394

[Rank 0] (epoch: 1, iters: 800, time: 0.642, data: 0.002) , D_A: 0.386, G_A: 0.484, cycle_A: 0.768, idt_A: 0.509, D_B: 0.244, G_B: 0.255, cycle_B: 1.198, idt_B: 0.313

[Rank 0] (epoch: 1, iters: 900, time: 0.643, data: 0.003) , D_A: 0.264, G_A: 0.341, cycle_A: 0.678, idt_A: 0.679, D_B: 0.856, G_B: 0.311, cycle_B: 1.450, idt_B: 0.269

[Rank 0] (epoch: 1, iters: 1000, time: 0.642, data: 0.002) , D_A: 0.141, G_A: 0.415, cycle_A: 0.741, idt_A: 0.617, D_B: 0.274, G_B: 0.400, cycle_B: 1.212, idt_B: 0.261

[Rank 0] (epoch: 1, iters: 1100, time: 0.639, data: 0.003) , D_A: 0.275, G_A: 0.524, cycle_A: 0.560, idt_A: 0.548, D_B: 0.227, G_B: 0.297, cycle_B: 1.447, idt_B: 0.222

[Rank 0] (epoch: 1, iters: 1200, time: 0.641, data: 0.003) , D_A: 0.260, G_A: 0.351, cycle_A: 0.811, idt_A: 0.672, D_B: 0.172, G_B: 0.396, cycle_B: 1.525, idt_B: 0.314

[Rank 0] (epoch: 1, iters: 1300, time: 0.643, data: 0.002) , D_A: 0.303, G_A: 0.316, cycle_A: 0.634, idt_A: 0.773, D_B: 0.156, G_B: 0.451, cycle_B: 1.658, idt_B: 0.296

[Rank 0] (epoch: 1, iters: 1400, time: 0.644, data: 0.002) , D_A: 0.149, G_A: 0.421, cycle_A: 0.853, idt_A: 0.348, D_B: 0.168, G_B: 0.477, cycle_B: 0.912, idt_B: 0.490

[Rank 0] (epoch: 1, iters: 1500, time: 0.643, data: 0.002) , D_A: 0.143, G_A: 0.760, cycle_A: 0.967, idt_A: 0.486, D_B: 0.219, G_B: 0.632, cycle_B: 1.060, idt_B: 0.403

[Rank 0] (epoch: 1, iters: 1600, time: 0.641, data: 0.002) , D_A: 0.232, G_A: 0.465, cycle_A: 0.818, idt_A: 0.971, D_B: 0.358, G_B: 0.792, cycle_B: 2.414, idt_B: 0.306

[Rank 0] (epoch: 1, iters: 1700, time: 0.643, data: 0.002) , D_A: 0.396, G_A: 0.820, cycle_A: 0.527, idt_A: 0.627, D_B: 0.272, G_B: 0.143, cycle_B: 1.848, idt_B: 0.241

[Rank 0] (epoch: 1, iters: 1800, time: 0.643, data: 0.003) , D_A: 0.296, G_A: 0.509, cycle_A: 0.644, idt_A: 0.819, D_B: 0.185, G_B: 0.296, cycle_B: 1.780, idt_B: 0.262

[Rank 0] (epoch: 1, iters: 1900, time: 0.643, data: 0.004) , D_A: 0.076, G_A: 0.697, cycle_A: 0.712, idt_A: 0.763, D_B: 0.085, G_B: 1.173, cycle_B: 1.621, idt_B: 0.347

[Rank 0] (epoch: 1, iters: 2000, time: 0.873, data: 0.001) , D_A: 0.203, G_A: 0.179, cycle_A: 0.526, idt_A: 0.492, D_B: 0.138, G_B: 0.490, cycle_B: 1.058, idt_B: 0.248

[Rank 0] (epoch: 1, iters: 2100, time: 0.644, data: 0.003) , D_A: 0.299, G_A: 0.585, cycle_A: 0.576, idt_A: 0.481, D_B: 0.137, G_B: 0.101, cycle_B: 1.001, idt_B: 0.278

[Rank 0] (epoch: 1, iters: 2200, time: 0.645, data: 0.001) , D_A: 0.251, G_A: 0.534, cycle_A: 0.874, idt_A: 0.481, D_B: 0.187, G_B: 1.009, cycle_B: 0.969, idt_B: 0.363

[Rank 0] (epoch: 1, iters: 2300, time: 0.641, data: 0.004) , D_A: 0.217, G_A: 0.471, cycle_A: 0.596, idt_A: 0.705, D_B: 0.256, G_B: 0.753, cycle_B: 1.537, idt_B: 0.284

[Rank 0] (epoch: 1, iters: 2400, time: 0.645, data: 0.002) , D_A: 0.142, G_A: 0.291, cycle_A: 1.022, idt_A: 0.513, D_B: 0.191, G_B: 0.339, cycle_B: 1.189, idt_B: 0.441

[Rank 0] (epoch: 1, iters: 2500, time: 0.646, data: 0.002) , D_A: 0.077, G_A: 0.298, cycle_A: 0.532, idt_A: 0.414, D_B: 0.364, G_B: 1.189, cycle_B: 1.159, idt_B: 0.194

[Rank 0] (epoch: 1, iters: 2600, time: 0.638, data: 0.002) , D_A: 0.179, G_A: 0.333, cycle_A: 0.697, idt_A: 0.508, D_B: 0.193, G_B: 0.451, cycle_B: 1.044, idt_B: 0.333

[Rank 0] (epoch: 1, iters: 2700, time: 0.644, data: 0.001) , D_A: 0.452, G_A: 0.504, cycle_A: 0.605, idt_A: 0.604, D_B: 0.129, G_B: 1.017, cycle_B: 1.264, idt_B: 0.237

[Rank 0] (epoch: 2, iters: 85, time: 0.939, data: 0.001) , D_A: 0.289, G_A: 0.986, cycle_A: 0.645, idt_A: 0.568, D_B: 0.108, G_B: 0.459, cycle_B: 1.685, idt_B: 0.285

[Rank 0] (epoch: 2, iters: 185, time: 0.643, data: 0.003) , D_A: 0.185, G_A: 0.254, cycle_A: 0.602, idt_A: 0.734, D_B: 0.100, G_B: 0.430, cycle_B: 1.435, idt_B: 0.245

[Rank 0] (epoch: 2, iters: 285, time: 0.646, data: 0.003) , D_A: 0.213, G_A: 0.522, cycle_A: 0.695, idt_A: 0.424, D_B: 0.130, G_B: 0.870, cycle_B: 1.139, idt_B: 0.278

[Rank 0] (epoch: 2, iters: 385, time: 0.642, data: 0.003) , D_A: 0.618, G_A: 0.377, cycle_A: 0.556, idt_A: 0.750, D_B: 0.067, G_B: 0.275, cycle_B: 1.455, idt_B: 0.209

[Rank 0] (epoch: 2, iters: 485, time: 0.644, data: 0.003) , D_A: 0.187, G_A: 1.073, cycle_A: 0.408, idt_A: 0.564, D_B: 0.035, G_B: 0.224, cycle_B: 1.232, idt_B: 0.237

[Rank 0] (epoch: 2, iters: 585, time: 0.644, data: 0.004) , D_A: 0.028, G_A: 0.718, cycle_A: 0.565, idt_A: 0.542, D_B: 0.100, G_B: 0.461, cycle_B: 1.005, idt_B: 0.232

[Rank 0] (epoch: 2, iters: 685, time: 0.645, data: 0.003) , D_A: 0.230, G_A: 0.347, cycle_A: 0.567, idt_A: 0.478, D_B: 0.032, G_B: 0.696, cycle_B: 1.007, idt_B: 0.182

[Rank 0] (epoch: 2, iters: 785, time: 0.643, data: 0.002) , D_A: 0.202, G_A: 0.456, cycle_A: 0.523, idt_A: 0.527, D_B: 0.380, G_B: 0.103, cycle_B: 1.075, idt_B: 0.208

[Rank 0] (epoch: 2, iters: 885, time: 0.642, data: 0.001) , D_A: 0.866, G_A: 0.157, cycle_A: 0.403, idt_A: 0.810, D_B: 0.048, G_B: 0.689, cycle_B: 1.791, idt_B: 0.143

