================ Training Loss (Wed Oct 15 14:10:54 2025) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.040, data: 0.152) , G_GAN: 0.760, G_L1: 8.585, D_real: 0.740, D_fake: 0.825

[Rank 0] (epoch: 1, iters: 200, time: 0.039, data: 0.003) , G_GAN: 0.727, G_L1: 6.524, D_real: 0.731, D_fake: 0.742

[Rank 0] (epoch: 1, iters: 300, time: 0.039, data: 0.003) , G_GAN: 0.707, G_L1: 7.254, D_real: 0.706, D_fake: 0.720

[Rank 0] (epoch: 1, iters: 400, time: 0.059, data: 0.003) , G_GAN: 0.725, G_L1: 5.413, D_real: 0.753, D_fake: 0.759

[Rank 0] (epoch: 1, iters: 500, time: 0.040, data: 0.002) , G_GAN: 0.717, G_L1: 5.816, D_real: 0.719, D_fake: 0.701

[Rank 0] (epoch: 1, iters: 600, time: 0.039, data: 0.003) , G_GAN: 0.724, G_L1: 5.652, D_real: 0.719, D_fake: 0.704

[Rank 0] (epoch: 1, iters: 700, time: 0.039, data: 0.003) , G_GAN: 0.706, G_L1: 5.292, D_real: 0.699, D_fake: 0.703

[Rank 0] (epoch: 1, iters: 800, time: 0.040, data: 0.003) , G_GAN: 0.712, G_L1: 6.230, D_real: 0.688, D_fake: 0.715

[Rank 0] (epoch: 1, iters: 900, time: 0.040, data: 0.002) , G_GAN: 0.705, G_L1: 5.580, D_real: 0.701, D_fake: 0.711

[Rank 0] (epoch: 1, iters: 1000, time: 0.039, data: 0.003) , G_GAN: 0.712, G_L1: 3.617, D_real: 0.700, D_fake: 0.705

[Rank 0] (epoch: 1, iters: 1100, time: 0.040, data: 0.003) , G_GAN: 0.722, G_L1: 4.696, D_real: 0.715, D_fake: 0.709

[Rank 0] (epoch: 1, iters: 1200, time: 0.039, data: 0.002) , G_GAN: 0.696, G_L1: 5.044, D_real: 0.690, D_fake: 0.732

